:START_ID,:END_ID,:TYPE
"East Carolina University","Citrix, Fort Lauderdale, FL 33309, United States",COAUTHORED_WITH
"Xi'An Jiaotong University","City University of Hong Kong",COAUTHORED_WITH
"Sun Yat-sen University","Southeast University",COAUTHORED_WITH
"Department of Math/Computer Science East Carolina University Greenville","McGill University 3480 University St.",COAUTHORED_WITH
"East Carolina University","Iowa State University",COAUTHORED_WITH
"East Carolina University","Iowa State University",COAUTHORED_WITH
"East Carolina University","Iowa State University",COAUTHORED_WITH
"East Carolina University","Iowa State University",COAUTHORED_WITH
"Youngstown State University","East Carolina University",COAUTHORED_WITH
"Youngstown State University","East Carolina University",COAUTHORED_WITH
"University of Toledo","Florida State University",COAUTHORED_WITH
"East Carolina University","University of Nebraska - Lincoln",COAUTHORED_WITH
"Virginia Polytech. Inst. Stt. University","East Carolina University",COAUTHORED_WITH
"Tongji University","EHF Key Lab of Science, Chengdu, Sichuan, China",COAUTHORED_WITH
"Purdue University","Iowa State University",COAUTHORED_WITH
"East Carolina University","University of Banking of the National Bank of Ukraine",COAUTHORED_WITH
"East Carolina University","University of Johannesburg",COAUTHORED_WITH
"Florida State University","Dalton State University",COAUTHORED_WITH
"East Carolina University","Ingersoll Rand University",COAUTHORED_WITH
"City University of Hong Kong","Xi'An Jiaotong University",COAUTHORED_WITH
"Texas A/M University - Corpus Christi","University of Georgia",COAUTHORED_WITH
"East Carolina University","Nanjing University",COAUTHORED_WITH
"East Carolina University","North Carolina A and T State University",COAUTHORED_WITH
"University of North Carolina-Chapel Hill","East Carolina University",COAUTHORED_WITH
"Pennsylvania State University","University of South Florida",COAUTHORED_WITH
"East Carolina University","Carnegie Mellon University",COAUTHORED_WITH
"East Carolina University","Carnegie Mellon University",COAUTHORED_WITH
"Reckitt Benckiser, 9, Moskovskij Prospekt, Kiev, 04073, Ukraine","East Carolina University",COAUTHORED_WITH
"Air Force Research Laboratory, United States","East Carolina University",COAUTHORED_WITH
"East Carolina University","China University of Geosciences",COAUTHORED_WITH
"East Carolina University","China University of Geosciences",COAUTHORED_WITH
"East Carolina University","China University of Geosciences",COAUTHORED_WITH
"East Carolina University","Texas A/M University - Corpus Christi",COAUTHORED_WITH
"Hydraulic Study Department, Calcutta Port Trust, Calcutta, India","East Carolina University",COAUTHORED_WITH
"Center for Creative Leadership, One Leadership Place, Greensboro, NC 27438-6300, United States","East Carolina University",COAUTHORED_WITH
"East Carolina University","Saint John's University",COAUTHORED_WITH
"East Carolina University","Southeast University",COAUTHORED_WITH
"East Carolina University","Southeast University",COAUTHORED_WITH
"West Texas A and M University","East Carolina University",COAUTHORED_WITH
"University of North Carolina","East Carolina University",COAUTHORED_WITH
"University of South Carolina","East Carolina University",COAUTHORED_WITH
"University of South Carolina","East Carolina University",COAUTHORED_WITH
"Florida A and M University","Florida State University",COAUTHORED_WITH
"East Carolina University","Northwestern State University",COAUTHORED_WITH
"Waynesburg University","East Carolina University",COAUTHORED_WITH
"Key Lab of the Ministry of Education for Process Control and Efficiency Engineering, No. 28 Xiannin Road, Xi'an, Shaanxi, China","East Carolina University",COAUTHORED_WITH
"University of Houston-Clear Lake","East Carolina University",COAUTHORED_WITH
"Open University","London School of Hygiene and Tropical Medicine, London WC1E 7HT, United Kingdom",COAUTHORED_WITH
"Surface Optics Corporation, 11555 Rancho Bernardo Rd., San Diego, CA 92197, United States","East Carolina University",COAUTHORED_WITH
"University of New Hampshire","East Carolina University",COAUTHORED_WITH
"East Carolina University","ETS-Lindgren, ESCO Technology Company, Cedar Park, PA, United States",COAUTHORED_WITH
"East Carolina University","Software Engineering, Corbis, Inc., Seattle, WA, United States",COAUTHORED_WITH
